feature,importance_gain
feature_16,816.8113725185394
feature_337,786.7328154825373
feature_34,635.9278602600098
feature_1094,611.4536839151406
feature_43,554.3214030426461
feature_1087,552.8504076004028
feature_1110,478.790940839157
feature_41,477.981586933136
feature_377,453.79479217808694
feature_1073,446.70270693302155
feature_22,436.03188848495483
feature_1103,430.7608714103699
feature_1205,427.08037449151743
feature_86,421.5273272411723
feature_363,419.99858088127803
feature_6,406.8038387298584
feature_42,388.9127902984619
feature_481,383.8090197335987
feature_396,375.2038469314575
feature_341,370.09777641296387
feature_1101,367.9424147605896
feature_21,367.5628995895386
feature_196,355.06601905822754
feature_1122,343.24587689145847
feature_1100,341.17192935943604
feature_29,337.35584167722845
feature_1074,322.4203085899353
feature_480,321.9776020050049
feature_1077,319.02385234832764
feature_826,318.94189598446246
feature_383,315.0644571403973
feature_37,312.8072392940521
feature_13,310.09990968817146
feature_1095,309.3361988067627
feature_10,308.1490888595581
feature_1193,307.84437151416205
feature_1072,302.665470123291
feature_11,294.6231927871704
feature_44,291.1680097579956
feature_1068,289.64882254600525
feature_1108,284.5653486251831
feature_12,284.41567945480347
feature_9,279.7638773918152
feature_1096,266.86727118492126
feature_583,265.0626972913742
feature_1084,263.48422718048096
feature_1034,260.1479229927063
feature_823,259.5411803241004
feature_46,254.87909269332886
feature_366,248.87068228275166
feature_1091,244.85004949569702
feature_707,242.6592903137207
feature_1161,238.0149974822998
feature_320,237.86810111999512
feature_482,236.36605978012085
feature_294,234.39789867401123
feature_19,234.13795484564616
feature_1106,231.19599199295044
feature_343,229.33598947525024
feature_361,228.93254726669693
feature_1195,227.51495838165283
feature_339,219.50640857359394
feature_195,219.04963064193726
feature_17,219.00559067726135
feature_386,217.79790019989014
feature_47,215.65578889846802
feature_1078,212.77629947662354
feature_1244,209.0157995223999
feature_28,206.48589897155762
feature_1124,205.66696565109305
feature_548,205.51650142669678
feature_381,205.007305731182
feature_52,204.47434997558594
feature_1076,203.60211521579186
feature_681,200.4486107826233
feature_824,198.16369771957397
feature_350,197.03644847869873
feature_369,192.6358151913155
feature_1105,191.4780216217041
feature_748,189.3812017440796
feature_262,188.84548568725586
feature_72,188.13369846343994
feature_736,185.75071620941162
feature_1080,184.53500032424927
feature_1188,182.57663869857788
feature_18,181.2327094078064
feature_793,181.00280952453613
feature_816,177.07307052612305
feature_1089,175.24815130233765
feature_70,174.40084771020338
feature_109,174.3825273513794
feature_270,172.9747200012207
feature_295,171.91796558484202
feature_398,171.08053970336914
feature_397,170.33590030670166
feature_829,169.89222049713135
feature_35,167.0496006011963
feature_259,166.46735000610352
feature_1065,166.0124979019165
feature_1115,164.43779754638672
feature_352,163.53559970855713
feature_20,163.25957870483398
feature_39,157.4490785598755
feature_792,155.62464141845703
feature_1081,153.73435974121094
feature_1170,153.1217770576477
feature_62,152.75228834152222
feature_1116,150.45610741662676
feature_1257,150.37679767608643
feature_15,149.92453956604004
feature_389,148.64098009077134
feature_1104,147.08078145980835
feature_1097,145.72005033493042
feature_358,143.83507324402672
feature_31,143.01119112968445
feature_290,141.54856061935425
feature_1142,141.246000289917
feature_1093,140.95255851745605
feature_1069,140.86829888820648
feature_359,140.8262882232666
feature_1114,140.1846103668213
feature_48,140.1600685119629
feature_474,139.79157066345215
feature_239,138.57909774780273
feature_24,137.58268652437255
feature_335,136.88616275787354
feature_372,135.71324062347412
feature_4,135.13258934020996
feature_1090,131.9751501083374
feature_242,131.8795404434204
feature_833,131.5058970451355
feature_14,131.28423976898193
feature_1118,131.1206178665161
feature_79,130.69658946990967
feature_69,130.46847867965698
feature_1175,130.34607934951782
feature_406,130.33882904052734
feature_757,130.15732097625732
feature_1075,129.50034999847412
feature_281,128.72633171081543
feature_120,128.30302906036377
feature_819,128.00320720672607
feature_1186,124.56375885009766
feature_83,122.42590713500977
feature_401,122.25399875640869
feature_33,122.14756774902344
feature_324,121.74180936813354
feature_772,121.50383949279785
feature_71,121.42164039611816
feature_38,121.3301305770874
feature_446,120.5354995727539
feature_313,119.65005729394034
feature_430,117.0624885559082
feature_1173,115.86970138549805
feature_1159,115.8302116394043
feature_1107,114.87769985198975
feature_1085,113.96010065078735
feature_547,113.54780006408691
feature_298,113.04461191917653
feature_467,112.49780082702637
feature_1099,111.41382150296704
feature_261,111.19389915466309
feature_1309,110.84866046905518
feature_293,110.64854907989502
feature_318,110.14563035964966
feature_45,109.7638988494873
feature_204,109.61249923706055
feature_431,109.6083984375
feature_266,109.37957351427758
feature_1079,108.60994148254395
feature_5,107.2930498123169
feature_543,105.66524028778076
feature_355,105.48913090932183
feature_23,103.26507323980331
feature_126,102.3122615814209
feature_484,102.0959005355835
feature_679,101.87449932098389
feature_1223,101.50329780578613
feature_831,100.67890167236328
feature_379,100.45246124267578
feature_729,100.22388935089111
feature_1071,99.82363796234131
feature_1013,99.7869005203247
feature_1139,98.6726803779602
feature_32,98.3509612083435
feature_608,97.78213882446289
feature_1341,97.32589817047119
feature_110,96.4340009689331
feature_473,94.56730079650879
feature_99,93.44579982757568
feature_1337,93.42846012115479
feature_468,93.06487894058228
feature_168,92.96050930023193
feature_311,92.57472029063501
feature_68,92.13110065460205
feature_93,91.81211757659912
