feature,n_total,n_non_na,n_missing,missing_ratio,n_unique,top_freq_ratio,min,q01,q05,q25,median,mean,q75,q95,q99,max,std,skew,kurtosis,zero_ratio,negative_ratio,flags
feature_0,247972,247972,0,0.0,1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,almost_binary;one_value_dominates;constant;left_edge_mass;right_edge_mass
feature_1,247972,247972,0,0.0,1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,almost_binary;one_value_dominates;constant;left_edge_mass;right_edge_mass
feature_2,247972,247972,0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,almost_binary;one_value_dominates;constant;left_edge_mass;right_edge_mass
feature_3,247972,247972,0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,almost_binary;one_value_dominates;constant;left_edge_mass;right_edge_mass
feature_4,247972,247972,0,0.0,13,0.5323786556546707,0.0,0.0,0.0,0.0,1.0,0.7944727630538931,1.0,2.0,3.0,13.0,0.7158830733777886,1.070932664343363,4.444081857565178,0.3484828932298808,0.0,very_discrete;one_value_dominates;left_edge_mass
feature_5,247972,247972,0,0.0,28,0.29859822883228754,0.0,0.0,0.0,1.0,1.0,1.8648920039359282,3.0,5.0,8.0,30.0,1.8029442144627417,2.3198308016761655,11.269364285096895,0.2027285338667269,0.0,very_discrete;left_edge_mass
feature_6,247972,247972,0,0.0,19,0.5883164228219315,0.0,0.0,0.0,1.0,1.0,1.2704902166373624,2.0,3.0,4.0,23.0,0.9199659947142355,1.912774022331438,10.146461466519737,0.1322084751504202,0.0,very_discrete;one_value_dominates;left_edge_mass
feature_7,247972,247972,0,0.0,32,0.30578855677253886,0.0,0.0,0.0,0.0,1.0,1.4579105705482878,2.0,4.0,7.0,31.0,1.6228734105446563,3.0118303403273057,21.8633753907488,0.30026373945445456,0.0,very_discrete;left_edge_mass;high_skew;heavy_tails
feature_8,247972,247972,0,0.0,24,0.7063055506266837,0.0,0.0,0.0,0.0,0.0,0.6270869291694223,1.0,3.0,5.0,24.0,1.2596370387241183,3.0734330621820196,16.426206043767078,0.7063055506266837,0.0,very_discrete;one_value_dominates;left_edge_mass;high_skew
feature_9,247972,247972,0,0.0,33,0.13575323020341007,1.0,1.0,1.0,4.0,5.0,6.014852483344894,8.0,13.0,19.0,33.0,3.6970851001775173,1.6160761621361694,5.182496626948746,0.0,0.0,very_discrete;left_edge_mass
feature_10,247972,247972,0,0.0,203788,0.12240091623247785,0.0010504553706006,0.34456848147472796,0.5028352055440424,0.6803016566707044,0.7867474493830706,0.825318242060972,0.9552842896770132,1.2318048205637278,1.4812988442127584,3.213423740019334,0.2415631788931648,1.6345405392869492,10.240185512895936,0.0,0.0,
feature_11,247972,247972,0,0.0,185685,0.12217911699708031,0.0011067600683623,0.0824306988902074,0.1884950741429637,0.37404473601669525,0.6145896211139718,0.8160020286536291,0.8482687007588612,2.2892367195985734,4.375086742320359,11.068707443691922,0.8362580431270317,4.237799806110165,28.481360796607547,0.0,0.0,high_skew;heavy_tails
feature_12,247972,247972,0,0.0,98431,0.2730751859080864,0.0941265807699264,0.8671051711736535,0.917901744052676,0.9723219040068428,0.9723219040068428,0.9834753046798039,0.9886245553094091,1.0549369847336632,1.260703360208465,10.572704217471342,0.12771137693039925,33.45722124412432,1980.8862815177085,0.0,0.0,high_skew;heavy_tails
feature_13,247972,247972,0,0.0,12669,0.12233236010517316,0.0032251349016576,0.0717592550493829,0.1291666580555561,0.2649572510028499,0.4357429252838049,0.494192726283527,0.600775154948323,1.033333264444449,1.5897435473504302,2.5833331611111223,0.31543022026480094,1.5138335184924199,3.623351464557734,0.0,0.0,
feature_14,247972,247972,0,0.0,4900,0.12233236010517316,0.003459353437806,0.0182767674830302,0.0312500113750034,0.0777778003333401,0.2089552846865854,0.3845084557510936,0.4375001312500394,1.400000420000126,1.400000420000126,3.000000910000273,0.4129624701215026,1.4283593093011517,1.2169406495792803,0.0,0.0,
feature_15,247972,247972,0,0.0,6948,0.12233236010517316,0.0040816336744901,0.0275590642677192,0.0489510636853191,0.1169102690730807,0.2616823105046931,0.4214428227469943,0.4883722615116785,1.400000420000126,1.400000420000126,3.500001050000315,0.4107918090704032,1.4608377672791988,1.6942200563092547,0.0,0.0,
feature_16,247972,247972,0,0.0,19748,0.12233236010517316,0.0028089889308988,0.1500000225000022,0.2454545720454572,0.4500000450000045,0.5625000562500057,0.6497970559721002,0.8114754511475452,1.266666741666674,1.800000180000018,3.52173950217395,0.3143328309069892,1.3617044470593842,3.073282009112324,0.0,0.0,
feature_17,247972,247972,0,0.0,193075,0.1687367928637104,0.0624080537203274,0.569896058092409,0.7476806919576428,0.8158714411796439,0.9241318875163006,0.9032416672726321,0.9787273644681806,1.0269801714202231,1.0644897657581611,1.0795147422474014,0.09987780713935432,-1.293657640164536,3.8638038301585613,0.0,0.0,
feature_18,247972,247972,0,0.0,196097,0.1687367928637104,0.0735818443204296,0.5037721552194593,0.6652340920061262,0.8061041673611878,0.9178702474174898,0.911404355177391,1.026970375026205,1.1267144060554999,1.1814955009028052,1.2697775836617973,0.14652691030814977,-0.470369091145292,0.41484566669373324,0.0,0.0,
feature_19,247972,247972,0,0.0,196672,0.1687367928637104,0.0434542796695887,0.2303567734519413,0.40228122277881817,0.7299815080568651,0.8228428088098222,0.8448808039417429,1.0390266556920538,1.2391900901495936,1.3413278975629075,1.473746141089727,0.24971748208987513,-0.18929069265280982,-0.2703944727710974,0.0,0.0,
